cs,Country_Region,Military Strength Power Index,Aircraft Strength value,Fighter/Interceptor Strength value,Attack Aircraft Strength value,Transport Aircraft Fleet Strength value,Trainer Aircraft Fleet value,Helicopter Fleet Strength value,Attack Helicopter Fleet Strength value,Tank Strength value,AFV/APC Strength value,Self-Propelled Artillery Strength value,Towed Artillery Strength value,Rocket Projector Strength value,Navy Fleet Strengths value,Aircraft Carrier Fleet Strength value,Submarine Fleet Strength value,Destroyer Fleet Strength value,Frigate Fleet Strength value,defense spending budget value,External Debt value,Airport Totals value,Oil Production value,Oil Consumption value,Proven Oil Reserves value,Available Manpower value,Total Population value,Total Square Land Area value,Total Coastline Coverage value,Total Waterway Coverage value,Total Border Coverage value,GDP (BILLIONS),CODE,link
Netherlands,Netherlands,0.5919,168,61,1,4,27,75,28,18,1546,57,160,0,63,0,4,0,6,12419000000,4.06E+12,29,18170,840000,113200000,7820960,17151228,41543,451,6237,1053,880.4,NLD,https://upload.wikimedia.org/wikipedia/commons/2/20/Flag_of_the_Netherlands.svg
New Zealand,New Zealand,1.3684,48,0,0,7,13,22,0,0,200,0,24,0,11,0,0,0,2,4300000000,91620000000,123,31480,150000,56900000,2115989,4545627,267710,15134,0,0,201,NZL,https://upload.wikimedia.org/wikipedia/commons/3/3e/Flag_of_New_Zealand.svg
Nicaragua,Nicaragua,2.2747,19,0,0,5,1,14,0,104,265,0,654,163,30,0,0,0,0,140000000,11310000000,147,0,35000,0,3030436,6085213,130370,910,2220,1253,11.85,NIC,https://upload.wikimedia.org/wikipedia/commons/1/19/Flag_of_Nicaragua.svg
Niger,Niger,2.0153,16,0,2,5,0,7,1,0,182,0,0,0,0,0,0,0,0,325000000,3728000000,30,11000,6500,150000000,6754519,19866231,1267000,0,300,5834,8.29,NER,https://upload.wikimedia.org/wikipedia/commons/f/f4/Flag_of_Niger.svg
Nigeria,Nigeria,0.6485,129,8,13,21,47,44,15,253,1789,25,339,36,75,0,0,0,0,2155000000,40960000000,54,1946000,275000,37060000000,77108499,203452505,923768,853,8600,4477,594.3,NGA,https://upload.wikimedia.org/wikipedia/commons/7/79/Flag_of_Nigeria.svg
"Korea, North	","Korea, North",0.3718,949,458,114,4,169,204,20,6045,10000,800,1000,2110,984,0,83,0,11,1600000000,5000000000,82,0,15500,0,13045878,25381085,120538,2495,2250,1607,28,PRK,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Flag_of_North_Korea.svg/640px-Flag_of_North_Korea.svg.png
Macedonia,Macedonia,3.1808,20,0,0,0,10,14,4,31,251,0,144,24,0,0,0,0,0,108152512,8790000000,10,0,18500,0,1053116,2118945,25713,0,280,838,10.92,MKD,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_North_Macedonia.svg/2560px-Flag_of_North_Macedonia.svg.png
Norway,Norway,0.5277,150,59,15,4,32,47,0,52,730,80,0,12,62,0,6,0,4,7179000000,6.42E+11,95,1618000,260000,6611000000,2170365,5372191,323802,25148,1577,2566,511.6,NOR,https://upload.wikimedia.org/wikipedia/commons/d/d9/Flag_of_Norway.svg
Oman,Oman,1.2514,131,29,10,9,46,42,0,117,761,39,144,12,16,0,0,0,0,8686000000,46270000000,132,970400,100000,5373000000,1764529,3494116,309500,2092,0,1561,80.54,OMN,https://upload.wikimedia.org/wikipedia/commons/d/dd/Flag_of_Oman.svg
Pakistan,Pakistan,0.2364,1372,356,90,49,513,346,56,2200,7330,429,1226,100,100,0,8,0,9,11400000000,82190000000,151,89720,575000,350600000,96344277,207862518,796095,1046,25220,7257,237.5,PAK,https://upload.wikimedia.org/wikipedia/commons/3/32/Flag_of_Pakistan.svg
